"Medicare Part D Prescriber PUF Drug List Summary, Calendar Years 2013 - 2023",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
PERPHENAZINE-AMITRIPTYLINE,PERPHENAZINE/AMITRIPTYLINE HCL,N,N,N,Y,N
PERSERIS,RISPERIDONE,N,N,N,Y,N
PFIZERPEN,PENICILLIN G POTASSIUM,N,N,Y,N,N
PIMOZIDE,PIMOZIDE,N,N,N,Y,N
PIPERACILLIN-TAZOBACTAM,PIPERACILLIN SODIUM/TAZOBACTAM,N,N,Y,N,N
PRIMAXIN,IMIPENEM/CILASTATIN SODIUM,N,N,Y,N,N
PRIMLEV,OXYCODONE HCL/ACETAMINOPHEN,Y,N,N,N,N
PRIMSOL,TRIMETHOPRIM,N,N,Y,N,N
PROLATE,OXYCODONE HCL/ACETAMINOPHEN,Y,N,N,N,N
QUETIAPINE FUMARATE,QUETIAPINE FUMARATE,N,N,N,Y,N
QUETIAPINE FUMARATE ER,QUETIAPINE FUMARATE,N,N,N,Y,N
RECARBRIO,IMIPENEM/CILASTATIN/RELEBACTAM,N,N,Y,N,N
REPREXAIN,HYDROCODONE/IBUPROFEN,Y,N,N,N,N
REXULTI,BREXPIPRAZOLE,N,N,N,Y,N
RISPERDAL,RISPERIDONE,N,N,N,Y,N
RISPERDAL CONSTA,RISPERIDONE MICROSPHERES,N,N,N,Y,N
RISPERDAL M-TAB,RISPERIDONE,N,N,N,Y,N
RISPERIDONE,RISPERIDONE,N,N,N,Y,N
RISPERIDONE ER,RISPERIDONE MICROSPHERES,N,N,N,Y,N
RISPERIDONE ODT,RISPERIDONE,N,N,N,Y,N
ROCEPHIN,CEFTRIAXONE SODIUM,N,N,Y,N,N
ROXICET,OXYCODONE HCL/ACETAMINOPHEN,Y,N,N,N,N
ROXICODONE,OXYCODONE HCL,Y,N,N,N,N
ROXYBOND,OXYCODONE HCL,Y,N,N,N,N
RYBIX ODT,TRAMADOL HCL,Y,N,N,N,N
RYZOLT,TRAMADOL HCL,Y,Y,N,N,N
SAPHRIS,ASENAPINE MALEATE,N,N,N,Y,N
SECUADO,ASENAPINE,N,N,N,Y,N
SEGLENTIS,TRAMADOL HCL/CELECOXIB,Y,N,N,N,N
SEPTRA DS,SULFAMETHOXAZOLE/TRIMETHOPRIM,N,N,Y,N,N
SEROQUEL,QUETIAPINE FUMARATE,N,N,N,Y,N
SEROQUEL XR,QUETIAPINE FUMARATE,N,N,N,Y,N
SEYSARA,SARECYCLINE HCL,N,N,Y,N,N
SIVEXTRO,TEDIZOLID PHOSPHATE,N,N,Y,N,N
SOLODYN,MINOCYCLINE HCL,N,N,Y,N,N
SOLOSEC,SECNIDAZOLE,N,N,Y,N,N
SPECTRACEF,CEFDITOREN PIVOXIL,N,N,Y,N,N
STAGESIC,HYDROCODONE/ACETAMINOPHEN,Y,N,N,N,N
STREPTOMYCIN SULFATE,STREPTOMYCIN SULFATE,N,N,Y,N,N
SUBSYS,FENTANYL,Y,N,N,N,Y
SULFADIAZINE,SULFADIAZINE,N,N,Y,N,N
SULFAMETHOXAZOLE-TRIMETHOPRIM,SULFAMETHOXAZOLE/TRIMETHOPRIM,N,N,Y,N,N
SULFATRIM,SULFAMETHOXAZOLE/TRIMETHOPRIM,N,N,Y,N,N
SUPRAX,CEFIXIME,N,N,Y,N,N
SYMBYAX,OLANZAPINE/FLUOXETINE HCL,N,N,N,Y,N
SYNALGOS-DC,ASPIRIN/CAFFEIN/DIHYDROCODEINE,Y,N,N,N,N
SYNALGOS-DC,DIHYDROCODEINE/ASPIRIN/CAFFEIN,Y,N,N,N,N
SYNERCID,QUINUPRISTIN/DALFOPRISTIN,N,N,Y,N,N
TARGADOX,DOXYCYCLINE HYCLATE,N,N,Y,N,N
TAZICEF,CEFTAZIDIME,N,N,Y,N,N
TAZICEF,CEFTAZIDIME PENTAHYDRATE,N,N,Y,N,N
TEFLARO,CEFTAROLINE FOSAMIL ACETATE,N,N,Y,N,N
TETRACYCLINE HCL,TETRACYCLINE HCL,N,N,Y,N,N
THIORIDAZINE HCL,THIORIDAZINE HCL,N,N,N,Y,N
THIOTHIXENE,THIOTHIXENE,N,N,N,Y,N
TIGECYCLINE,TIGECYCLINE,N,N,Y,N,N
TIMENTIN,TICARCILLIN/K CLAVULANATE,N,N,Y,N,N
TINDAMAX,TINIDAZOLE,N,N,Y,N,N
TINIDAZOLE,TINIDAZOLE,N,N,Y,N,N
TOBI,TOBRAMYCIN IN 0.225% NACL,N,N,Y,N,Y
TOBI PODHALER,TOBRAMYCIN,N,N,Y,N,Y
TOBRAMYCIN,TOBRAMYCIN IN 0.225% NACL,N,N,Y,N,Y
TOBRAMYCIN SULFATE,TOBRAMYCIN SULFATE,N,N,Y,N,N
TOBRAMYCIN SULFATE IN NS,TOBRAMYCIN/SODIUM CHLORIDE,N,N,Y,N,N
TOPIRAMATE,TOPIRAMATE,Y,N,N,N,Y
TRAMADOL HCL,TRAMADOL HCL,Y,N,N,N,N
TRAMADOL HCL ER,TRAMADOL HCL,Y,Y,N,N,N
TRAMADOL HCL-ACETAMINOPHEN,TRAMADOL HCL/ACETAMINOPHEN,Y,N,N,N,N
TREZIX,ACETAMINOPHEN/CAFF/DIHYDROCOD,Y,N,N,N,Y
TREZIX,DHCODEINE BT/ACETAMINOPHN/CAFF,Y,N,N,N,N
TRIFLUOPERAZINE HCL,TRIFLUOPERAZINE HCL,N,N,N,Y,N
TRIMETHOPRIM,TRIMETHOPRIM,N,N,Y,N,N
TYGACIL,TIGECYCLINE,N,N,Y,N,N
TYLENOL-CODEINE NO.3,ACETAMINOPHEN WITH CODEINE,Y,N,N,N,N
TYLENOL-CODEINE NO.4,ACETAMINOPHEN WITH CODEINE,Y,N,N,N,N
TYLOX,OXYCODONE HCL/ACETAMINOPHEN,Y,N,N,N,N
ULTRACET,TRAMADOL HCL/ACETAMINOPHEN,Y,N,N,N,N
ULTRAM,TRAMADOL HCL,Y,N,N,N,N
ULTRAM ER,TRAMADOL HCL,Y,Y,N,N,N
UNASYN,AMPICILLIN SOD/SULBACTAM SOD,N,N,Y,N,N
UNASYN,AMPICILLIN SODIUM/SULBACTAM NA,N,N,Y,N,N
UZEDY,RISPERIDONE,N,N,N,Y,N
VABOMERE,MEROPENEM/VABORBACTAM,N,N,Y,N,N
VANCOCIN HCL,VANCOMYCIN HCL,N,N,Y,N,N
VANCOMYCIN,VANCOMYCIN HCL IN 5 % DEXTROSE,N,N,Y,N,N
VANCOMYCIN,VANCOMYCIN HCL IN DEXTROSE 5 %,N,N,Y,N,N
VANCOMYCIN,"VANCOMYCIN IN DEXTROSE,ISO-OSM",N,N,Y,N,N
VANCOMYCIN HCL,VANCOMYCIN HCL,N,N,Y,N,N
VANCOMYCIN HCL,VANCOMYCIN HCL IN 5 % DEXTROSE,N,N,Y,N,N
VANCOMYCIN HCL,VANCOMYCIN HCL IN DEXTROSE 5 %,N,N,Y,N,N
VANCOMYCIN HCL,VANCOMYCIN HCL/D5W,N,N,Y,N,N
VANCOMYCIN HCL,VANCOMYCIN/WATER FOR INJ (PEG),N,N,Y,N,N
VANCOMYCIN HCL-0.9% NACL,VANCOMYCIN/0.9 % SOD CHLORIDE,N,N,Y,N,N
VANCOMYCIN HCL-D5W,VANCOMYCIN HCL IN 5 % DEXTROSE,N,N,Y,N,N
VANCOMYCIN HCL-D5W,VANCOMYCIN HCL IN DEXTROSE 5 %,N,N,Y,N,N
VANCOMYCIN-D5W,VANCOMYCIN HCL/D5W,N,N,Y,N,N
VERSACLOZ,CLOZAPINE,N,N,N,Y,N
VIBATIV,TELAVANCIN HCL,N,N,Y,N,N
VIBRAMYCIN,DOXYCYCLINE CALCIUM,N,N,Y,N,N
VIBRAMYCIN,DOXYCYCLINE HYCLATE,N,N,Y,N,N
VIBRAMYCIN,DOXYCYCLINE MONOHYDRATE,N,N,Y,N,N
VICODIN,HYDROCODONE/ACETAMINOPHEN,Y,N,N,N,N
VICODIN ES,HYDROCODONE/ACETAMINOPHEN,Y,N,N,N,N
VICODIN HP,HYDROCODONE/ACETAMINOPHEN,Y,N,N,N,N
VICOPROFEN,HYDROCODONE/IBUPROFEN,Y,N,N,N,N
VRAYLAR,CARIPRAZINE HCL,N,N,N,Y,N
XARTEMIS XR,OXYCODONE HCL/ACETAMINOPHEN,Y,Y,N,N,N
XENLETA,LEFAMULIN ACETATE,N,N,Y,N,N
XERAVA,ERAVACYCLINE DI-HYDROCHLORIDE,N,N,Y,N,N
XIFAXAN,RIFAXIMIN,N,N,Y,N,N
XIMINO,MINOCYCLINE HCL,N,N,Y,N,N
XODOL 10-300,HYDROCODONE/ACETAMINOPHEN,Y,N,N,N,N
XODOL 5-300,HYDROCODONE/ACETAMINOPHEN,Y,N,N,N,N
XODOL 7.5-300,HYDROCODONE/ACETAMINOPHEN,Y,N,N,N,N
XTAMPZA ER,OXYCODONE MYRISTATE,Y,Y,N,N,N
XYLON 10,HYDROCODONE/IBUPROFEN,Y,N,N,N,N
ZAMICET,HYDROCODONE/ACETAMINOPHEN,Y,N,N,N,N
ZEMDRI,PLAZOMICIN SULFATE,N,N,Y,N,N
ZERBAXA,CEFTOLOZANE/TAZOBACTAM,N,N,Y,N,N
ZINACEF,CEFUROXIME SODIUM,N,N,Y,N,N
ZIPRASIDONE HCL,ZIPRASIDONE HCL,N,N,N,Y,N
ZIPRASIDONE MESYLATE,ZIPRASIDONE MESYLATE,N,N,N,Y,N
ZITHROMAX,AZITHROMYCIN,N,N,Y,N,N
ZITHROMAX TRI-PAK,AZITHROMYCIN,N,N,Y,N,N
ZMAX,AZITHROMYCIN,N,N,Y,N,N
ZOHYDRO ER,HYDROCODONE BITARTRATE,Y,Y,N,N,N
ZOLVIT,HYDROCODONE/ACETAMINOPHEN,Y,N,N,N,N
ZOSYN,PIPERACILLIN SODIUM/TAZOBACTAM,N,N,Y,N,N
ZOSYN,"PIPERACILLIN-TAZO-DEXTROSE,ISO",N,N,Y,N,N
ZYDONE,HYDROCODONE/ACETAMINOPHEN,Y,N,N,N,N
ZYPREXA,OLANZAPINE,N,N,N,Y,N
ZYPREXA RELPREVV,OLANZAPINE PAMOATE,N,N,N,Y,N
ZYPREXA ZYDIS,OLANZAPINE,N,N,N,Y,N
ZYVOX,LINEZOLID,N,N,Y,N,N
ZYVOX,LINEZOLID IN DEXTROSE 5%,N,N,Y,N,N
