"Medicare Part D Prescriber PUF Drug List Summary, Calendar Years 2013 - 2023",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
CEDAX,CEFTIBUTEN DIHYDRATE,N,N,Y,N,N
CEFACLOR,CEFACLOR,N,N,Y,N,N
CEFACLOR ER,CEFACLOR,N,N,Y,N,N
CEFADROXIL,CEFADROXIL,N,N,Y,N,N
CEFADROXIL,CEFADROXIL HYDRATE,N,N,Y,N,N
CEFAZOLIN,"CEFAZOLIN SODIUM/DEXTROSE,ISO",N,N,Y,N,N
CEFAZOLIN SODIUM,CEFAZOLIN SODIUM,N,N,Y,N,N
CEFAZOLIN SODIUM,"CEFAZOLIN SODIUM/DEXTROSE,ISO",N,N,Y,N,N
CEFAZOLIN SODIUM-DEXTROSE,"CEFAZOLIN SODIUM/DEXTROSE,ISO",N,N,Y,N,N
CEFDINIR,CEFDINIR,N,N,Y,N,N
CEFDITOREN PIVOXIL,CEFDITOREN PIVOXIL,N,N,Y,N,N
CEFEPIME,"CEFEPIME HCL/DEXTROSE, ISO-OSM",N,N,Y,N,N
CEFEPIME,CEFEPIME IN ISO-OSM DEXTROSE,N,N,Y,N,N
CEFEPIME HCL,CEFEPIME HCL,N,N,Y,N,N
CEFEPIME-DEXTROSE,CEFEPIME HCL IN DEXTROSE 5 %,N,N,Y,N,N
CEFEPIME-DEXTROSE,CEFEPIME HCL/D5W,N,N,Y,N,N
CEFIXIME,CEFIXIME,N,N,Y,N,N
CEFOTAN,CEFOTETAN DISODIUM,N,N,Y,N,N
CEFOTAXIME SODIUM,CEFOTAXIME SODIUM,N,N,Y,N,N
CEFOTETAN,CEFOTETAN DISODIUM,N,N,Y,N,N
CEFOTETAN & DEXTROSE,"CEFOTETAN DISOD/DEXTROSE,ISO",N,N,Y,N,N
CEFOTETAN & DEXTROSE,CEFOTETAN DISOD/ISOSM DEXTROSE,N,N,Y,N,N
CEFOXITIN,CEFOXITIN SODIUM,N,N,Y,N,N
CEFOXITIN SODIUM,"CEFOXITIN SODIUM/DEXTROSE,ISO",N,N,Y,N,N
CEFPODOXIME PROXETIL,CEFPODOXIME PROXETIL,N,N,Y,N,N
CEFPROZIL,CEFPROZIL,N,N,Y,N,N
CEFTAZIDIME,CEFTAZIDIME,N,N,Y,N,N
CEFTAZIDIME,CEFTAZIDIME IN DEXTROSE5%WATER,N,N,Y,N,N
CEFTAZIDIME,CEFTAZIDIME PENTAHYDRATE,N,N,Y,N,N
CEFTAZIDIME,CEFTAZIDIME PENTAHYDRATE/D5W,N,N,Y,N,N
CEFTIBUTEN,CEFTIBUTEN,N,N,Y,N,N
CEFTIBUTEN,CEFTIBUTEN DIHYDRATE,N,N,Y,N,N
CEFTIN,CEFUROXIME AXETIL,N,N,Y,N,N
CEFTRIAXONE,CEFTRIAXONE IN IS-OSM DEXTROSE,N,N,Y,N,N
CEFTRIAXONE,"CEFTRIAXONE NA/DEXTROSE,ISO",N,N,Y,N,N
CEFTRIAXONE,CEFTRIAXONE SODIUM,N,N,Y,N,N
CEFUROXIME,CEFUROXIME AXETIL,N,N,Y,N,N
CEFUROXIME SODIUM,CEFUROXIME SODIUM,N,N,Y,N,N
CEPHALEXIN,CEPHALEXIN,N,N,Y,N,N
CHLORPROMAZINE HCL,CHLORPROMAZINE HCL,N,N,N,Y,N
CIPRO,CIPROFLOXACIN,N,N,Y,N,N
CIPRO,CIPROFLOXACIN HCL,N,N,Y,N,N
CIPRO I.V.,CIPROFLOXACIN LACTATE/D5W,N,N,Y,N,N
CIPROFLOXACIN,CIPROFLOXACIN,N,N,Y,N,N
CIPROFLOXACIN,CIPROFLOXACIN LACTATE,N,N,Y,N,N
CIPROFLOXACIN ER,CIPROFLOXACIN/CIPROFLOXA HCL,N,N,Y,N,N
CIPROFLOXACIN HCL,CIPROFLOXACIN HCL,N,N,Y,N,N
CIPROFLOXACIN-D5W,CIPROFLOXACIN IN 5 % DEXTROSE,N,N,Y,N,N
CIPROFLOXACIN-D5W,CIPROFLOXACIN LACTATE/D5W,N,N,Y,N,N
CLAFORAN,CEFOTAXIME SODIUM,N,N,Y,N,N
CLARITHROMYCIN,CLARITHROMYCIN,N,N,Y,N,N
CLARITHROMYCIN ER,CLARITHROMYCIN,N,N,Y,N,N
CLEOCIN HCL,CLINDAMYCIN HCL,N,N,Y,N,N
CLEOCIN PALMITATE,CLINDAMYCIN PALMITATE HCL,N,N,Y,N,N
CLEOCIN PHOSPHATE,CLINDAMYCIN PHOSPHATE,N,N,Y,N,N
CLEOCIN PHOSPHATE IN D5W,CLINDAMYCIN PHOSPHATE/D5W,N,N,Y,N,N
CLINDAMYCIN (PEDIATRIC),CLINDAMYCIN PALMITATE HCL,N,N,Y,N,N
CLINDAMYCIN HCL,CLINDAMYCIN HCL,N,N,Y,N,N
CLINDAMYCIN PALMITATE HCL,CLINDAMYCIN PALMITATE HCL,N,N,Y,N,N
CLINDAMYCIN PEDIATRIC,CLINDAMYCIN PALMITATE HCL,N,N,Y,N,N
CLINDAMYCIN PHOSPHATE,CLINDAMYCIN PHOSPHATE,N,N,Y,N,N
CLINDAMYCIN PHOSPHATE-D5W,CLINDAMYCIN PHOSPHATE/D5W,N,N,Y,N,N
CLINDAMYCIN-0.9% NACL,CLINDAMYCIN IN 0.9 % SOD CHLOR,N,N,Y,N,N
CLOZAPINE,CLOZAPINE,N,N,N,Y,N
CLOZAPINE ODT,CLOZAPINE,N,N,N,Y,N
CLOZARIL,CLOZAPINE,N,N,N,Y,N
CO-GESIC,HYDROCODONE/ACETAMINOPHEN,Y,N,N,N,N
CODEINE SULFATE,CODEINE SULFATE,Y,N,N,N,N
CONZIP,TRAMADOL HCL,Y,Y,N,N,N
CUBICIN,DAPTOMYCIN,N,N,Y,N,N
CUBICIN RF,DAPTOMYCIN,N,N,Y,N,N
DALVANCE,DALBAVANCIN HCL,N,N,Y,N,N
DAPTOMYCIN,DAPTOMYCIN,N,N,Y,N,N
DAPTOMYCIN-0.9% NACL,DAPTOMYCIN IN 0.9 % SOD CHLOR,N,N,Y,N,N
DAXBIA,CEPHALEXIN,N,N,Y,N,N
DEMECLOCYCLINE HCL,DEMECLOCYCLINE HCL,N,N,Y,N,N
DEMEROL,MEPERIDINE HCL,Y,N,N,N,Y
DICLOXACILLIN SODIUM,DICLOXACILLIN SODIUM,N,N,Y,N,N
DIFICID,FIDAXOMICIN,N,N,Y,N,N
DIHYDROCODEIN-ACETAMINOPH-CAFF,ACETAMINOPHEN/CAFF/DIHYDROCOD,Y,N,N,N,N
DIHYDROCODEIN-ACETAMINOPH-CAFF,DHCODEINE BT/ACETAMINOPHN/CAFF,Y,N,N,N,N
DILAUDID,HYDROMORPHONE HCL,Y,N,N,N,N
DISKETS,METHADONE HCL,Y,Y,N,N,N
DOLOPHINE HCL,METHADONE HCL,Y,Y,N,N,N
DORIBAX,DORIPENEM,N,N,Y,N,N
DORIPENEM,DORIPENEM,N,N,Y,N,N
DORYX,DOXYCYCLINE HYCLATE,N,N,Y,N,N
DORYX MPC,DOXYCYCLINE HYCLATE,N,N,Y,N,N
DOXY 100,DOXYCYCLINE HYCLATE,N,N,Y,N,N
DOXYCYCLINE HYCLATE,DOXYCYCLINE HYCLATE,N,N,Y,N,N
DOXYCYCLINE MONOHYDRATE,DOXYCYCLINE MONOHYDRATE,N,N,Y,N,N
DURAGESIC,FENTANYL,Y,Y,N,N,N
E.E.S. 200,ERYTHROMYCIN ETHYLSUCCINATE,N,N,Y,N,N
E.E.S. 400,ERYTHROMYCIN ETHYLSUCCINATE,N,N,Y,N,N
EMBEDA,MORPHINE SULFATE/NALTREXONE,Y,Y,N,N,N
ENDOCET,OXYCODONE HCL/ACETAMINOPHEN,Y,N,N,N,N
ENDODAN,OXYCODONE HCL/ASPIRIN,Y,N,N,N,N
ERTAPENEM,ERTAPENEM SODIUM,N,N,Y,N,N
ERY-TAB,ERYTHROMYCIN BASE,N,N,Y,N,N
ERYPED 200,ERYTHROMYCIN ETHYLSUCCINATE,N,N,Y,N,N
ERYPED 400,ERYTHROMYCIN ETHYLSUCCINATE,N,N,Y,N,N
ERYTHROCIN LACTOBIONATE,ERYTHROMYCIN LACTOBIONATE,N,N,Y,N,N
ERYTHROCIN STEARATE,ERYTHROMYCIN STEARATE,N,N,Y,N,N
ERYTHROMYCIN,ERYTHROMYCIN BASE,N,N,Y,N,N
ERYTHROMYCIN ETHYLSUCCINATE,ERYTHROMYCIN ETHYLSUCCINATE,N,N,Y,N,N
ERYTHROMYCIN-SULFISOXAZOLE,ERY E-SUCC/SULFISOXAZOLE,N,N,Y,N,N
EXALGO,HYDROMORPHONE HCL,Y,Y,N,N,N
FACTIVE,GEMIFLOXACIN MESYLATE,N,N,Y,N,N
FANAPT,ILOPERIDONE,N,N,N,Y,N
FAZACLO,CLOZAPINE,N,N,N,Y,N
FENTANYL,FENTANYL,Y,Y,N,N,N
FENTANYL CITRATE,FENTANYL CITRATE,Y,N,N,N,Y
FENTORA,FENTANYL CITRATE,Y,N,N,N,Y
FETROJA,CEFIDEROCOL SULFATE TOSYLATE,N,N,Y,N,N
FIORICET WITH CODEINE,BUTALBIT/ACETAMIN/CAFF/CODEINE,Y,N,N,N,N
FIORINAL WITH CODEINE #3,CODEINE/BUTALBITAL/ASA/CAFFEIN,Y,N,N,N,N
FIRVANQ,VANCOMYCIN HCL,N,N,Y,N,N
FLAGYL,METRONIDAZOLE,N,N,Y,N,N
FLAGYL ER,METRONIDAZOLE,N,N,Y,N,N
FLUPHENAZINE DECANOATE,FLUPHENAZINE DECANOATE,N,N,N,Y,N
FLUPHENAZINE HCL,FLUPHENAZINE HCL,N,N,N,Y,N
FORTAZ,CEFTAZIDIME,N,N,Y,N,N
FORTAZ,CEFTAZIDIME PENTAHYDRATE,N,N,Y,N,N
FORTAZ IN ISO-OSMOTIC DEXTROSE,CEFTAZIDIME IN IS-OSM DEXTROSE,N,N,Y,N,N
FORTAZ IN ISO-OSMOTIC DEXTROSE,"CEFTAZIDIME NA/DEXTROSE,ISO",N,N,Y,N,N
FOSFOMYCIN TROMETHAMINE,FOSFOMYCIN TROMETHAMINE,N,N,Y,N,N
FURADANTIN,NITROFURANTOIN,N,N,Y,N,N
GENTAMICIN SULFATE,GENTAMICIN SULFATE,N,N,Y,N,N
GENTAMICIN SULFATE,GENTAMICIN SULFATE/PF,N,N,Y,N,N
GENTAMICIN SULFATE IN NS,"GENTAMICIN IN NACL, ISO-OSM",N,N,Y,N,N
GEODON,ZIPRASIDONE HCL,N,N,N,Y,N
GEODON,ZIPRASIDONE MESYLATE,N,N,N,Y,N
HALDOL,HALOPERIDOL LACTATE,N,N,N,Y,N
HALDOL DECANOATE 100,HALOPERIDOL DECANOATE,N,N,N,Y,N
HALDOL DECANOATE 50,HALOPERIDOL DECANOATE,N,N,N,Y,N
HALOPERIDOL,HALOPERIDOL,N,N,N,Y,N
HALOPERIDOL,HALOPERIDOL LACTATE,N,N,N,Y,N
HALOPERIDOL DECANOATE,HALOPERIDOL DECANOATE,N,N,N,Y,N
HALOPERIDOL DECANOATE 100,HALOPERIDOL DECANOATE,N,N,N,Y,N
HALOPERIDOL LACTATE,HALOPERIDOL LACTATE,N,N,N,Y,N
HYCET,HYDROCODONE/ACETAMINOPHEN,Y,N,N,N,N
HYDROCODONE BIT-IBUPROFEN,HYDROCODONE/IBUPROFEN,Y,N,N,N,N
HYDROCODONE BITARTRATE ER,HYDROCODONE BITARTRATE,Y,Y,N,N,N
